[  472.616285] in func - uvc_video_stats_decode, in file - drivers/media/usb/uvc/uvc_video.c
[  472.616285] in func - uvc_video_decode_data, in file - drivers/media/usb/uvc/uvc_video.c
[  472.616286] in func - uvc_video_decode_end, in file - drivers/media/usb/uvc/uvc_video.c
[  472.616286] in func - uvc_video_decode_start, in file - drivers/media/usb/uvc/uvc_video.c
[  472.616286] in func - uvc_video_clock_decode, in file - drivers/media/usb/uvc/uvc_video.c
[  472.616287] in func - uvc_video_stats_decode, in file - drivers/media/usb/uvc/uvc_video.c
[  472.616287] in func - uvc_video_decode_data, in file - drivers/media/usb/uvc/uvc_video.c
[  472.616288] in func - uvc_video_decode_end, in file - drivers/media/usb/uvc/uvc_video.c
[  472.616288] in func - uvc_video_decode_start, in file - drivers/media/usb/uvc/uvc_video.c
[  472.616288] in func - uvc_video_clock_decode, in file - drivers/media/usb/uvc/uvc_video.c
[  472.616289] in func - uvc_video_stats_decode, in file - drivers/media/usb/uvc/uvc_video.c
[  472.616289] in func - uvc_video_decode_data, in file - drivers/media/usb/uvc/uvc_video.c
[  472.616290] in func - uvc_video_decode_end, in file - drivers/media/usb/uvc/uvc_video.c
[  472.616290] in func - uvc_video_decode_start, in file - drivers/media/usb/uvc/uvc_video.c
[  472.616290] in func - uvc_video_clock_decode, in file - drivers/media/usb/uvc/uvc_video.c
[  472.616291] in func - uvc_video_stats_decode, in file - drivers/media/usb/uvc/uvc_video.c
[  472.616291] in func - uvc_video_decode_data, in file - drivers/media/usb/uvc/uvc_video.c
[  472.616292] in func - uvc_video_decode_end, in file - drivers/media/usb/uvc/uvc_video.c
[  472.616292] in func - uvc_video_decode_start, in file - drivers/media/usb/uvc/uvc_video.c
[  472.616292] in func - uvc_video_clock_decode, in file - drivers/media/usb/uvc/uvc_video.c
[  472.616293] in func - uvc_video_stats_decode, in file - drivers/media/usb/uvc/uvc_video.c
[  472.616293] in func - uvc_video_decode_data, in file - drivers/media/usb/uvc/uvc_video.c
[  472.616294] in func - uvc_video_decode_end, in file - drivers/media/usb/uvc/uvc_video.c
[  472.616294] in func - uvc_video_decode_start, in file - drivers/media/usb/uvc/uvc_video.c
[  472.616294] in func - uvc_video_clock_decode, in file - drivers/media/usb/uvc/uvc_video.c
[  472.616295] in func - uvc_video_get_ts, in file - drivers/media/usb/uvc/uvc_video.c
[  472.616296] in func - uvc_video_stats_decode, in file - drivers/media/usb/uvc/uvc_video.c
[  472.616296] in func - uvc_video_decode_data, in file - drivers/media/usb/uvc/uvc_video.c
[  472.616297] in func - uvc_video_decode_end, in file - drivers/media/usb/uvc/uvc_video.c
